1:3,6,8,6,1,6,6,5,5,5,3,7,2,4,2,9,6,6,4,8,7,2,4,2,5,1,8,9,3,8
2:8,5,1,7,4,8,7,9,2,7,9,8,2,3,1,5,3,1,5,7,2,4,7,9,7,3,5,9,6,5
3:2,6,6,1,4,7,9,7,3,7,1,8,1,9,3,3,4,9,1,4,8,9,2,9,2,9,9,5,6,6
4:3,5,9,9,6,8,9,5,1,6,6,6,9,9,4,6,2,2,3,3,6,6,5,1,4,6,9,8,3,6
5:7,4,6,9,7,7,4,1,5,6,8,7,1,9,3,8,6,9,6,7,2,2,4,7,1,8,4,7,4,4
6:2,6,4,9,4,7,4,3,6,6,4,9,3,2,1,7,7,3,6,3,7,3,9,2,3,1,1,5,8,4
7:1,1,6,8,7,6,2,9,3,2,1,2,6,4,7,9,9,8,4,1,6,5,3,6,9,5,6,9,3,6
8:2,3,8,6,7,6,4,9,9,5,4,1,1,7,8,4,5,4,1,7,8,2,4,6,3,6,7,1,5,1
9:8,8,3,2,7,9,6,4,8,5,8,9,6,1,1,5,9,3,8,5,3,2,5,3,1,6,9,5,3,2
10:7,4,6,9,7,8,4,1,5,6,8,7,1,9,3,8,6,9,6,7,2,2,4,7,1,8,4,7,4,5
11:8,2,1,2,5,6,5,8,5,6,9,9,5,9,8,1,8,5,8,3,3,3,9,2,1,7,4,8,7,1
12:5,6,4,1,6,9,9,4,8,9,3,3,2,3,6,3,4,8,2,9,4,1,4,4,3,1,5,4,8,9
13:8,3,9,3,7,9,4,3,7,6,1,9,7,7,1,9,5,8,3,5,4,7,6,1,8,7,4,6,1,4
14:5,1,8,1,2,9,1,2,7,9,3,4,3,4,8,1,6,2,4,6,1,3,4,6,6,5,2,7,1,9
15:5,5,1,8,3,1,1,5,5,4,7,3,5,3,5,3,4,1,2,3,7,9,8,1,8,6,7,2,8,1
16:6,8,9,3,1,5,4,9,7,8,6,4,8,9,8,3,8,9,9,4,8,8,3,8,6,6,2,8,4,5
17:6,6,6,2,9,7,4,6,4,6,6,1,4,9,5,4,2,4,3,4,4,3,8,2,5,9,7,5,3,7
18:1,7,2,1,3,2,5,4,3,1,1,9,3,7,3,9,2,2,4,8,1,9,2,2,8,2,4,9,2,2
19:6,5,5,9,1,5,8,2,8,7,8,9,6,6,5,3,4,1,4,1,9,9,5,5,3,1,2,2,2,3
20:4,6,4,5,7,9,5,6,5,3,9,8,1,4,6,1,5,6,8,8,2,9,7,8,2,7,2,7,1,9
21:6,7,5,7,5,8,5,9,8,1,2,1,8,2,9,1,5,3,4,6,9,1,6,6,3,2,3,2,7,1
